昭和55年	54801	82700	201257	343928	202351	186048	232796	362270	346247	273791	661147	797292	247035	345733	542449	288626	387458	198126	498266	564156	619961	420187	495231	387178	142675	136910	164526	98990	192198	89344	180548	295405	102456	154610	145448	119363	91010	64144	48694	70836	65553	61913	106556	57198	95248	48154	42017	62810	158235	22803	13854	4230	9808
昭和60年	50493	79973	194591	332722	195876	176804	229986	388927	357732	269166	662814	811304	242442	335936	539842	278455	367579	190061	505556	587887	622640	419017	514812	426654	146523	138783	166252	110828	201972	97543	191071	321188	104642	158673	156031	123798	95467	64881	51478	73784	69881	65066	110079	60930	122135	50766	47203	66529	162899	27033	15787	4012	9273
平成2年	39472	68041	158499	296790	181269	162969	222944	385159	344611	251222	647914	789051	205625	319687	529485	261870	354647	184809	518943	618663	631163	424801	565939	466347	152824	139077	165564	125960	209396	105372	197677	349050	105899	164013	165928	134002	100982	65833	58062	74189	75132	67539	113818	65562	144489	58635	52103	71940	170290	30967	16444	3808	8752
平成7年	34780	63923	144885	279048	172474	153918	215681	365604	325377	243100	636276	781104	188472	306581	515803	246252	334127	176886	511415	635746	622270	424478	589414	503363	157884	135051	165721	137234	216211	107292	198574	360525	109279	172946	166537	135112	105786	66719	61497	74656	76355	67386	111097	67015	148113	62806	55095	75355	175073	32714	16701	3560	8257
平成12年	36035	72526	159398	286726	176017	156325	215979	376840	324608	250140	650331	814901	196682	309526	522103	249017	326764	180468	513575	658132	617123	421519	619953	536046	164709	135746	171612	141394	226769	106532	204759	377494	111825	178623	167942	142290	111404	72187	61427	75711	77212	68037	113302	66052	145862	69235	56013	78351	180885	32892	16631	3256	7575
平成17年	41778	98399	185861	305716	189632	165186	231173	420845	346357	264064	665674	841165	203334	310627	528587	250585	330412	191207	523083	692339	624807	424878	653944	560012	172566	137525	177016	142354	245623	110143	216119	405534	114112	183796	176538	144929	117604	72667	61074	78319	79353	73529	115330	66553	145877	76492	56514	79587	189735	33691	15941	2930	6741
平成22年	47115	122762	205131	326309	206626	175928	247606	460819	365302	268330	693373	877138	204492	314750	549569	284678	335544	203296	535824	716124	683426	442586	678967	580053	179668	138734	186083	139339	255506	112297	223593	426987	118852	187035	180052	153557	120650	75510	59796	78751	83068	74104	116546	70053	147648	84835	57032	80868	196511	33497	16650	2558	6045
平成23年	48408	125667	210785	323890	208913	179697	247447	467104	368948	268926	695778	880211	207794	314235	549434	284792	333739	204550	537855	715525	679605	442041	677496	581326	178990	138941	185646	139512	255586	112283	224467	428168	119650	186773	181148	153462	119938	75064	59377	78294	83511	74385	115818	70503	146448	85581	56889	81062	199164	33394	16881	2497	5895
平成24年	50023	128533	218087	324660	210231	184033	248393	471124	372262	270384	698705	884060	212387	315432	550950	284751	333446	205559	541435	715534	675841	439293	673193	580521	177820	139454	185497	138622	256230	111805	225306	428755	119603	187571	181548	152664	120739	74675	58888	78336	83807	74331	115476	70774	145579	86198	56583	81222	199260	33233	17171	2404	5684
平成25年	52337	132008	224967	326912	212918	188725	250427	479518	375525	273915	704328	890151	216169	319297	554130	285387	335273	207669	546936	716550	672526	439642	673129	579441	176931	141672	185325	138225	257062	111728	226552	430585	120643	188325	182475	151896	121461	74177	58710	78587	83621	74439	115890	71070	145687	86538	56280	81118	198774	33331	17284	2335	5515
平成26年	55793	136905	234209	330034	216298	193862	253399	488665	380458	275637	711113	896031	220414	322760	558480	287436	338090	209386	552645	718795	670599	440676	676318	578090	176774	143377	186267	137556	258328	111294	226925	431202	120807	188698	184030	150984	122238	73821	58400	79679	85072	74750	116029	71096	146773	86662	55940	81121	199181	33317	17348	2244	5362
平成27年	58406	141183	243283	333560	219724	198073	256274	498109	386855	277622	717082	903346	224533	328215	563997	291167	341076	212264	561916	721722	670122	442913	681298	577513	176295	144730	186936	137381	260274	111539	229061	432348	121396	190005	186283	149956	122742	73655	58395	80249	85157	74864	116632	71229	146631	87636	55833	80954	200012	33445	17446	2209	5234
